Shifted Time (s),AxialRotation Angle IMU (degrees)
101.791,1.8747877039015033
101.801,1.8692394248193371
101.812,1.866070933751561
101.82,1.8589342309258214
101.831,1.8430163165697826
101.841,1.8246571909113827
101.851,1.8123978541785037
101.861,1.7940383065993213
101.872,1.7613555484020937
101.88,1.7376335798151417
101.891,1.7069634010669272
101.901,1.6794630123862544
101.911,1.6446424140018592
101.92099999999999,1.6092116061428576
101.92999999999999,1.5778655890382844
101.941,1.5364583629174398
101.951,1.5052969280098387
101.961,1.477795284544845
101.971,1.450293432752146
101.982,1.4102273728615826
101.99,1.384063105103051
102.001,1.349364629706607
102.011,1.3157619469027253
102.021,1.2815490569216166
102.03099999999999,1.2473359599939167
102.03999999999999,1.2192816563502071
102.05,1.1881181462212826
102.06099999999999,1.1534184298381198
102.071,1.1185945074316779
102.081,1.089260379233253
102.091,1.0617560454743344
102.1,1.0353475063864677
102.11,1.0060127622014716
102.121,0.9780108131513298
102.131,0.9620856594680849
102.141,0.9577503013839975
102.14999999999999,0.9582237391314188
102.16,0.9648579729427962
102.17099999999999,0.9663680030507826
102.181,0.9650718296881333
102.191,0.9601254530878258
102.2,0.9589598734829481
102.21,0.9601030911066945
102.22,0.9636861061924253
102.231,0.9705629189735834
102.241,0.9771955296837403
102.251,0.9893179385565449
102.26,0.9996711458259148
102.27,1.0075231517259093
102.28,1.0165949564907217
102.291,1.0315225603547167
102.301,1.0436439635522519
102.31,1.060584166317872
102.32,1.0788051688862814
102.33,1.0921459714923303
102.34,1.1079265743709446
102.351,1.1302339777571562
102.361,1.152114181886197
102.37,1.1739941869932622
102.38,1.1952639933137639
102.39,1.2183636010832053
102.401,1.2379860105371971
102.411,1.2543752219114763
102.42,1.2691172354418265
102.42999999999999,1.2861160513642387
102.44,1.3012846699147653
102.45,1.3170630913296915
102.461,1.3366843158454007
102.469,1.350510343698418
102.48,1.3634211751254155
102.49,1.372488810363178
102.5,1.3760662496486749
102.51,1.3802534932189512
102.521,1.38645354131119
102.529,1.3924703941627277
102.53999999999999,1.3926310520110126
102.55,1.3895075150937084
102.56,1.386383783648692
102.57,1.381429857914008
102.579,1.3835417381277093
102.589,1.3834574245281237
102.6,1.38160391735381
102.61,1.3778692168433104
102.62,1.37656432323539
102.63,1.3746592367689245
102.639,1.372386957682962
102.64999999999999,1.3665174862166838
102.66,1.3646118226093464
102.67,1.3553859671003763
102.67999999999999,1.3443299199294112
102.689,1.3382136813360954
102.699,1.3241072515603318
102.71,1.311526630842125
102.72,1.3010798194216244
102.73,1.2912428175391855
102.739,1.2823806254353025
102.749,1.268883243350613
102.759,1.252945671525839
102.77,1.2323119102019815
102.78,1.215153959620067
102.78999999999999,1.195555820021347
102.79899999999999,1.1795554916471924
102.809,1.168496974739201
102.819,1.1556082695391263
102.83,1.1396703762889424
102.84,1.1292212952306881
102.849,1.119259026606605
102.859,1.111249570658968
102.869,1.1075099276301246
102.88,1.0982810977625705
102.89,1.0866110812989092
102.89999999999999,1.0743308784819325
102.90899999999999,1.0665634895544864
102.919,1.0591629147596215
102.929,1.0548121543404974
102.94,1.045582208540417
102.95,1.0467110776027462
102.959,1.0510117617710848
102.969,1.0448302612891398
102.979,1.0362085764006994
102.989,1.0300267073496858
103.0,1.0187826543802472
103.008,1.0106464177366339
103.01899999999999,0.9933629976632388
103.029,0.982300394404599
103.039,0.9736776082054481
103.04899999999999,0.9711546393106189
103.06,0.9612514879650649
103.068,0.9565301544139337
103.079,0.9446136389024877
103.089,0.934159941676132
103.099,0.9273660629804833
103.109,0.9248420030612947
103.118,0.9231097621644189
103.129,0.9212463405358614
103.139,0.9205417384218098
103.149,0.9186269560685122
103.15899999999999,0.920971993722437
103.17,0.9204498516301298
103.178,0.9206065300383874
103.189,0.9194130291940141
103.199,0.9180973493439807
103.209,0.9143514907353703
103.219,0.9130354536154198
103.228,0.9134882382313987
103.238,0.9121718448308492
103.249,0.904278273661442
103.259,0.8956515249709645
103.26899999999999,0.8833645990073661
103.279,0.8680274960185755
103.288,0.8465282162528679
103.298,0.8196107599585541
103.309,0.7875711273841467
103.319,0.7594333187781632
103.329,0.7349453343893966
103.338,0.7128961744665675
103.348,0.6737778392586049
103.359,0.6169103290146907
103.369,0.5485216439840118
103.379,0.47160278441605896
103.388,0.40346375056037453
103.398,0.33019454266663767
103.408,0.2502251609844581
103.419,0.1564736057639602
103.429,0.08320387725499423
103.439,-0.007746024291991005
103.448,-0.09125809862678336
103.458,-0.20232834549884704
103.468,-0.32803876465749093
103.479,-0.4781333558517309
103.489,-0.6282341188309424
103.498,-0.769365053343861
103.508,-0.9401961591391066
103.518,-1.1293174359656775
103.52799999999999,-1.3409988835714284
